unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
1492,object,bus,0.324501864773,bus,1628191.0,1840437.0,849811.0,0.324501864773
75,object,pool table,0.227096425681,pool table,435101.0,977822.0,261487.0,0.227096425681
1519,object,bus,0.209796817263,bus,1628191.0,1398642.0,524898.0,0.209796817263
2169,object,train,0.195189610682,train,1646804.0,1878397.0,575710.0,0.195189610682
1475,object,skyscraper,0.189291962362,skyscraper,1270392.0,1545359.0,448165.0,0.189291962362
1455,object,skyscraper,0.184748200325,skyscraper,1270392.0,1789937.0,477224.0,0.184748200325
1518,object,airplane,0.179385229486,airplane,1293178.0,1427442.0,413808.0,0.179385229486
2194,object,pool table,0.179033603781,pool table,435101.0,1835792.0,344830.0,0.179033603781
407,object,painting,0.176138400138,painting,2207098.0,1149788.0,502727.0,0.176138400138
2179,object,train,0.175429423688,train,1646804.0,1707392.0,500604.0,0.175429423688
1707,object,bed,0.172644282198,bed,5819168.0,1693163.0,1106014.0,0.172644282198
1218,object,bicycle,0.170384382026,bicycle,1152271.0,1471169.0,381920.0,0.170384382026
1622,object,bicycle,0.164363703063,bicycle,1152271.0,1805873.0,417577.0,0.164363703063
1206,object,bicycle,0.163254706336,bicycle,1152271.0,1497244.0,371841.0,0.163254706336
1210,object,bicycle,0.161683333274,bicycle,1152271.0,1778318.0,407880.0,0.161683333274
1716,object,bed,0.159643380904,bed,5819168.0,1739507.0,1040572.0,0.159643380904
1523,object,bus,0.15909018285,bus,1628191.0,1346199.0,408248.0,0.15909018285
800,object,bicycle,0.150064412583,bicycle,1152271.0,888516.0,266289.0,0.150064412583
1207,object,motorbike,0.149206925827,motorbike,1440771.0,1684765.0,405803.0,0.149206925827
629,object,car,0.142993176783,car,5354795.0,1261389.0,827712.0,0.142993176783
1414,object,pool table,0.140409559132,pool table,435101.0,1222222.0,204053.0,0.140409559132
1423,object,pool table,0.1399731283,pool table,435101.0,1690282.0,260968.0,0.1399731283
1297,object,bottle,0.139631339261,bottle,940192.0,1266483.0,270369.0,0.139631339261
1530,object,bus,0.1352399712,bus,1628191.0,1444823.0,366085.0,0.1352399712
2035,object,dog,0.133943850082,dog,3793935.0,1688222.0,647564.0,0.133943850082
1405,object,skyscraper,0.133442933189,skyscraper,1270392.0,1539778.0,330848.0,0.133442933189
1620,object,bed,0.13318004156,bed,5819168.0,1480490.0,857912.0,0.13318004156
511,object,car,0.132894601397,car,5354795.0,1226550.0,772027.0,0.132894601397
542,object,track,0.131384476664,track,493725.0,891515.0,160864.0,0.131384476664
1613,object,boat,0.12724777131,boat,1245134.0,1413295.0,300093.0,0.12724777131
514,object,bus,0.127000372332,bus,1628191.0,841734.0,278333.0,0.127000372332
2172,object,pool table,0.125310621855,pool table,435101.0,1736295.0,241799.0,0.125310621855
1456,object,skyscraper,0.121436269264,skyscraper,1270392.0,1674466.0,318888.0,0.121436269264
1318,object,bottle,0.119853570452,bottle,940192.0,1606196.0,272530.0,0.119853570452
972,object,lamp,0.116877334606,lamp,593228.0,1054863.0,172467.0,0.116877334606
1698,object,tvmonitor,0.116608844784,tvmonitor,1019561.0,1765755.0,290874.0,0.116608844784
264,object,track,0.116531850562,track,493725.0,861882.0,141484.0,0.116531850562
1106,object,sofa,0.115592205457,sofa,4094071.0,1698704.0,600219.0,0.115592205457
1420,object,pool table,0.115580656949,pool table,435101.0,1057788.0,154672.0,0.115580656949
1901,object,bed,0.115577400419,bed,5819168.0,1563248.0,764842.0,0.115577400419
1549,object,airplane,0.112477607457,airplane,1293178.0,1403243.0,272623.0,0.112477607457
1512,object,airplane,0.111033068067,airplane,1293178.0,1650543.0,294186.0,0.111033068067
248,object,bed,0.108279514676,bed,5819168.0,981449.0,664424.0,0.108279514676
1944,object,airplane,0.108012175958,airplane,1293178.0,1630834.0,285041.0,0.108012175958
1697,object,car,0.107393865244,car,5354795.0,1654429.0,679747.0,0.107393865244
1813,object,stairway,0.107003126146,stairway,488990.0,1766344.0,218001.0,0.107003126146
1888,object,track,0.105963156313,track,493725.0,1626486.0,203139.0,0.105963156313
1482,object,skyscraper,0.104241259494,skyscraper,1270392.0,1360020.0,248313.0,0.104241259494
1897,object,bed,0.103808159284,bed,5819168.0,1667689.0,704105.0,0.103808159284
1335,object,bottle,0.102161603226,bottle,940192.0,1517743.0,227831.0,0.102161603226
1557,object,bottle,0.101989212057,bottle,940192.0,1478109.0,223814.0,0.101989212057
1299,object,bus,0.101591245759,bus,1628191.0,1299540.0,270002.0,0.101591245759
1352,object,bicycle,0.0993169994767,bicycle,1152271.0,1723495.0,259809.0,0.0993169994767
1580,object,bus,0.0992771300442,bus,1628191.0,1485163.0,281171.0,0.0992771300442
1596,object,bicycle,0.0988313343097,bicycle,1152271.0,1306374.0,221136.0,0.0988313343097
1705,object,bed,0.0985664117561,bed,5819168.0,1579434.0,663823.0,0.0985664117561
400,object,airplane,0.0979123784044,airplane,1293178.0,804646.0,187085.0,0.0979123784044
788,object,stairway,0.0976459247568,stairway,488990.0,879713.0,121759.0,0.0976459247568
1076,object,waterfall,0.0975549773852,waterfall,246334.0,1748594.0,177317.0,0.0975549773852
1696,object,tvmonitor,0.0973897454884,tvmonitor,1019561.0,1740000.0,244902.0,0.0973897454884
1606,object,bed,0.097116089945,bed,5819168.0,1449643.0,643431.0,0.097116089945
1984,object,cow,0.0952438878209,cow,780135.0,1686869.0,214534.0,0.0952438878209
1828,object,train,0.0945737908805,train,1646804.0,1402695.0,263484.0,0.0945737908805
68,object,pool table,0.0938629088014,pool table,435101.0,797397.0,105759.0,0.0938629088014
1437,object,pool table,0.0937644147577,pool table,435101.0,1281641.0,147170.0,0.0937644147577
1050,object,chandelier,0.0936942555978,chandelier,180873.0,958915.0,97643.0,0.0936942555978
1074,object,waterfall,0.0931021640099,waterfall,246334.0,1136050.0,117741.0,0.0931021640099
1632,object,bus,0.0926897430603,bus,1628191.0,1393401.0,256313.0,0.0926897430603
1958,object,train,0.0926862603525,train,1646804.0,1717412.0,285367.0,0.0926862603525
1597,object,bed,0.0926110184954,bed,5819168.0,1255909.0,599692.0,0.0926110184954
1403,object,pool table,0.09185182155,pool table,435101.0,1433254.0,157175.0,0.09185182155
1310,object,car,0.0915917938241,car,5354795.0,1315345.0,559669.0,0.0915917938241
2171,object,cat,0.0906619992106,cat,4163987.0,1721476.0,489233.0,0.0906619992106
633,object,ball,0.0900554582672,ball,122639.0,802345.0,76418.0,0.0900554582672
423,object,skyscraper,0.0899345779436,skyscraper,1270392.0,1106497.0,196126.0,0.0899345779436
1691,object,bus,0.0898433990042,bus,1628191.0,1683005.0,272965.0,0.0898433990042
1588,object,bed,0.0889884254301,bed,5819168.0,1552358.0,602376.0,0.0889884254301
1594,object,dog,0.0881692249353,dog,3793935.0,1704188.0,445487.0,0.0881692249353
227,object,skyscraper,0.0880091711962,skyscraper,1270392.0,904868.0,175957.0,0.0880091711962
1689,object,toilet,0.0875564073702,toilet,310112.0,1834832.0,172684.0,0.0875564073702
249,object,cushion,0.086632481361,cushion,640838.0,992990.0,130258.0,0.086632481361
505,object,sink,0.0865380979829,sink,489770.0,918341.0,112150.0,0.0865380979829
908,object,ball,0.086450810974,ball,122639.0,791630.0,72750.0,0.086450810974
1531,object,work surface,0.0855626738581,work surface,487388.0,1505996.0,157116.0,0.0855626738581
1602,object,bicycle,0.0847415579659,bicycle,1152271.0,1628669.0,217251.0,0.0847415579659
1782,object,sofa,0.0846707021267,sofa,4094071.0,1610978.0,445343.0,0.0846707021267
2054,object,sofa,0.0843044481276,sofa,4094071.0,1715372.0,451683.0,0.0843044481276
656,object,stove,0.0840844214365,stove,315517.0,977606.0,100298.0,0.0840844214365
1704,object,sink,0.08311684459,sink,489770.0,1554834.0,156900.0,0.08311684459
1961,object,train,0.0828635181163,train,1646804.0,1478025.0,239120.0,0.0828635181163
219,object,train,0.0819814280464,train,1646804.0,793894.0,184931.0,0.0819814280464
2040,object,skyscraper,0.0819724615337,skyscraper,1270392.0,1608978.0,218147.0,0.0819724615337
695,object,chest of drawers,0.0819451655245,chest of drawers,472331.0,967685.0,109065.0,0.0819451655245
1804,object,cradle,0.0813680429546,cradle,157375.0,1414733.0,118294.0,0.0813680429546
1830,object,table,0.0812048645307,table,4805122.0,1706204.0,489039.0,0.0812048645307
1873,object,curtain,0.0809597341934,curtain,3107136.0,1664911.0,357408.0,0.0809597341934
1575,object,pottedplant,0.0804957046883,pottedplant,925877.0,1645491.0,191564.0,0.0804957046883
