unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
1492,object,bus,0.336384345435,bus,718224.0,519018.0,311429.0,0.336384345435
1519,object,bus,0.234607672476,bus,718224.0,402380.0,212944.0,0.234607672476
1218,object,bicycle,0.203669708326,bicycle,346546.0,459288.0,136353.0,0.203669708326
1206,object,bicycle,0.195001554072,bicycle,346546.0,433937.0,127360.0,0.195001554072
2035,object,dog,0.188209635514,dog,562488.0,474276.0,164221.0,0.188209635514
1210,object,bicycle,0.186322424415,bicycle,346546.0,486282.0,130803.0,0.186322424415
1622,object,bicycle,0.185982455742,bicycle,346546.0,490065.0,131195.0,0.185982455742
1475,object,skyscraper,0.184472670655,skyscraper,311978.0,410728.0,112556.0,0.184472670655
2179,object,train,0.179694309764,train,814905.0,474889.0,196465.0,0.179694309764
1518,object,airplane,0.177968798868,airplane,467959.0,387019.0,129171.0,0.177968798868
800,object,bicycle,0.173683783565,bicycle,346546.0,261110.0,89922.0,0.173683783565
1455,object,skyscraper,0.172004859415,skyscraper,311978.0,489712.0,117657.0,0.172004859415
1707,object,bed,0.170478807622,bed,1147732.0,460184.0,234191.0,0.170478807622
2169,object,train,0.170263348964,train,814905.0,524493.0,194871.0,0.170263348964
1716,object,bed,0.162825586601,bed,1147732.0,473005.0,226945.0,0.162825586601
1963,object,tent,0.153404258179,tent,132307.0,468424.0,79898.0,0.153404258179
1207,object,motorbike,0.153125003745,motorbike,502167.0,459944.0,127760.0,0.153125003745
1523,object,bus,0.15123049676,bus,718224.0,402416.0,147212.0,0.15123049676
1405,object,skyscraper,0.150291034291,skyscraper,311978.0,433054.0,97342.0,0.150291034291
407,object,painting,0.149563934372,painting,463421.0,296996.0,98934.0,0.149563934372
1297,object,bottle,0.144045069746,bottle,217843.0,353802.0,71975.0,0.144045069746
264,object,track,0.141800806743,track,225395.0,254682.0,59621.0,0.141800806743
542,object,track,0.140268955264,track,225395.0,280816.0,62271.0,0.140268955264
1613,object,boat,0.139144456752,boat,525332.0,381730.0,110796.0,0.139144456752
1813,object,stairway,0.138841936463,stairway,194469.0,488720.0,83291.0,0.138841936463
1642,object,tent,0.137757591051,tent,132307.0,476399.0,73701.0,0.137757591051
1847,object,horse,0.136187320245,horse,448575.0,460034.0,108909.0,0.136187320245
1530,object,bus,0.135221267375,bus,718224.0,398156.0,132977.0,0.135221267375
1076,object,waterfall,0.134193898803,waterfall,87111.0,493408.0,68685.0,0.134193898803
1620,object,bed,0.130469774542,bed,1147732.0,387533.0,177188.0,0.130469774542
1901,object,bed,0.129618538088,bed,1147732.0,417664.0,179622.0,0.129618538088
1318,object,bottle,0.129073166205,bottle,217843.0,439220.0,75114.0,0.129073166205
1698,object,tvmonitor,0.128443267218,tvmonitor,222537.0,484242.0,80448.0,0.128443267218
1512,object,airplane,0.128334568861,airplane,467959.0,468113.0,106467.0,0.128334568861
514,object,bus,0.128330269604,bus,718224.0,246073.0,109674.0,0.128330269604
1888,object,track,0.128257875306,track,225395.0,471698.0,79244.0,0.128257875306
1352,object,bicycle,0.1280721285,bicycle,346546.0,483362.0,94221.0,0.1280721285
1061,object,controls,0.127522114331,controls,99757.0,338468.0,49563.0,0.127522114331
1074,object,waterfall,0.126039996996,waterfall,87111.0,347742.0,48674.0,0.126039996996
1456,object,skyscraper,0.124922839619,skyscraper,311978.0,455243.0,85200.0,0.124922839619
1602,object,bicycle,0.123659887025,bicycle,346546.0,456300.0,88354.0,0.123659887025
1644,object,tent,0.123656796434,tent,132307.0,394824.0,58010.0,0.123656796434
227,object,skyscraper,0.121867078873,skyscraper,311978.0,264278.0,62598.0,0.121867078873
1596,object,bicycle,0.121176492928,bicycle,346546.0,361977.0,76577.0,0.121176492928
1944,object,airplane,0.120119021369,airplane,467959.0,456585.0,99146.0,0.120119021369
629,object,car,0.119873365397,car,1755929.0,324733.0,222718.0,0.119873365397
2194,object,arcade machine,0.119308997647,arcade machine,92714.0,478569.0,60894.0,0.119308997647
1106,object,sofa,0.118520587575,sofa,658666.0,462567.0,118808.0,0.118520587575
