unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
488,object,bus,0.411277301072,bus,718224.0,516789.0,359910.0,0.411277301072
1538,object,horse,0.28038984224,horse,448575.0,474467.0,202135.0,0.28038984224
557,object,bicycle,0.276120911256,bicycle,346546.0,461652.0,174874.0,0.276120911256
474,object,dog,0.241568046988,dog,562488.0,489361.0,204655.0,0.241568046988
1201,object,bed,0.23374430354,bed,1147732.0,477166.0,307852.0,0.23374430354
418,object,boat,0.229863808619,boat,525332.0,460608.0,184274.0,0.229863808619
1775,object,bus,0.21459389203,bus,718224.0,451753.0,206711.0,0.21459389203
550,object,train,0.214315262275,train,814905.0,500179.0,232100.0,0.214315262275
356,object,airplane,0.213385645933,airplane,467959.0,483032.0,167241.0,0.213385645933
995,object,bed,0.203071173778,bed,1147732.0,466431.0,272461.0,0.203071173778
670,object,airplane,0.199187267805,airplane,467959.0,450688.0,152589.0,0.199187267805
280,object,train,0.194397133304,train,814905.0,460698.0,207614.0,0.194397133304
63,object,sofa,0.191319892761,sofa,658666.0,488226.0,184185.0,0.191319892761
339,object,dog,0.190477642288,dog,562488.0,452743.0,162438.0,0.190477642288
1073,object,stairway,0.187290548586,stairway,194469.0,493554.0,108533.0,0.187290548586
577,object,tent,0.186145130033,tent,132307.0,459564.0,92884.0,0.186145130033
1122,object,skyscraper,0.183349685288,skyscraper,311978.0,472003.0,121471.0,0.183349685288
441,object,bus,0.179765023255,bus,718224.0,429324.0,174856.0,0.179765023255
864,object,bus,0.177069012644,bus,718224.0,444473.0,174907.0,0.177069012644
1403,object,dog,0.176979470299,dog,562488.0,468373.0,155008.0,0.176979470299
107,object,train,0.176109000841,train,814905.0,422050.0,185220.0,0.176109000841
1158,object,bed,0.176102569039,bed,1147732.0,465001.0,241481.0,0.176102569039
1555,object,tvmonitor,0.173035000757,tvmonitor,222537.0,482911.0,104061.0,0.173035000757
974,object,bicycle,0.168753696188,bicycle,346546.0,402465.0,108148.0,0.168753696188
886,object,motorbike,0.166936666977,motorbike,502167.0,413373.0,130973.0,0.166936666977
445,object,dog,0.166275870961,dog,562488.0,459656.0,145727.0,0.166275870961
1636,object,seat,0.16553985073,seat,465291.0,453743.0,130529.0,0.16553985073
1617,object,airplane,0.16439302767,airplane,467959.0,484086.0,134413.0,0.16439302767
1488,object,stairway,0.159866944185,stairway,194469.0,472567.0,91939.0,0.159866944185
110,object,track,0.157783295863,track,225395.0,464667.0,94042.0,0.157783295863
1521,object,bus,0.157210736454,bus,718224.0,397937.0,151634.0,0.157210736454
162,object,motorbike,0.157008713624,motorbike,502167.0,424914.0,125807.0,0.157008713624
1840,object,bus,0.156804164127,bus,718224.0,441434.0,157191.0,0.156804164127
176,object,boat,0.154728163622,boat,525332.0,431694.0,128237.0,0.154728163622
1891,object,train,0.15259862864,train,814905.0,460941.0,168916.0,0.15259862864
1772,object,motorbike,0.152294978123,motorbike,502167.0,440113.0,124538.0,0.152294978123
1792,object,dog,0.150409215864,dog,562488.0,465306.0,134378.0,0.150409215864
267,object,car,0.149952661974,car,1755929.0,446174.0,287152.0,0.149952661974
1465,object,train,0.147019029036,train,814905.0,466048.0,164186.0,0.147019029036
1751,object,seat,0.144644001015,seat,465291.0,481776.0,119677.0,0.144644001015
1003,object,bed,0.143310698887,bed,1147732.0,409384.0,195180.0,0.143310698887
627,object,snow,0.142803180971,snow,310809.0,487903.0,99806.0,0.142803180971
1211,object,horse,0.141179519846,horse,448575.0,436412.0,109485.0,0.141179519846
1655,object,train,0.141174817568,train,814905.0,443982.0,155737.0,0.141174817568
1853,object,motorbike,0.140873986701,motorbike,502167.0,414175.0,113149.0,0.140873986701
1902,object,car,0.140653256376,car,1755929.0,403128.0,266232.0,0.140653256376
1526,object,bottle,0.138828674522,bottle,217843.0,443058.0,80567.0,0.138828674522
897,object,controls,0.138721420929,controls,99757.0,450447.0,67027.0,0.138721420929
425,object,tent,0.138113264121,tent,132307.0,414281.0,66330.0,0.138113264121
666,object,seat,0.137259877563,seat,465291.0,466905.0,112510.0,0.137259877563
1786,object,painting,0.136654073687,painting,463421.0,472284.0,112495.0,0.136654073687
1915,object,arcade machine,0.136512886827,arcade machine,92714.0,445168.0,64608.0,0.136512886827
1171,object,controls,0.136316930678,controls,99757.0,442123.0,65006.0,0.136316930678
501,object,tent,0.136215190077,tent,132307.0,432701.0,67736.0,0.136215190077
865,object,sea,0.136166881971,sea,800859.0,477940.0,153261.0,0.136166881971
547,object,bus,0.133127857146,bus,718224.0,430660.0,134979.0,0.133127857146
1972,object,seat,0.131335486196,seat,465291.0,473257.0,108955.0,0.131335486196
179,object,dog,0.128567881719,dog,562488.0,428442.0,112888.0,0.128567881719
79,object,book,0.128451936071,book,139687.0,472400.0,69674.0,0.128451936071
80,object,ice rink,0.127357214469,ice rink,73484.0,422410.0,56021.0,0.127357214469
630,object,tvmonitor,0.125576158534,tvmonitor,222537.0,438264.0,73723.0,0.125576158534
402,object,tent,0.125225144002,tent,132307.0,429321.0,62503.0,0.125225144002
219,object,arcade machine,0.12419829256,arcade machine,92714.0,455743.0,60592.0,0.12419829256
1012,object,bridge,0.123097422674,bridge,195153.0,454697.0,71227.0,0.123097422674
1077,object,airplane,0.12238391481,airplane,467959.0,435743.0,98539.0,0.12238391481
1258,object,mountain,0.122195433161,mountain,1572069.0,442843.0,219403.0,0.122195433161
1197,object,horse,0.122022042813,horse,448575.0,388762.0,91062.0,0.122022042813
126,object,house,0.120780846116,house,868880.0,445778.0,141674.0,0.120780846116
323,object,dog,0.118129998684,dog,562488.0,423403.0,104159.0,0.118129998684
1083,object,motorbike,0.116597710021,motorbike,502167.0,388974.0,93055.0,0.116597710021
367,object,flower,0.116510263419,flower,170065.0,471225.0,66920.0,0.116510263419
1931,object,case,0.114932659475,case,176743.0,438750.0,63448.0,0.114932659475
379,object,waterfall,0.114231159479,waterfall,87111.0,433411.0,53364.0,0.114231159479
178,object,motorbike,0.114162676936,motorbike,502167.0,439862.0,96525.0,0.114162676936
1568,object,painting,0.113982156049,painting,463421.0,432312.0,91651.0,0.113982156049
1798,object,bottle,0.113256962745,bottle,217843.0,465237.0,69493.0,0.113256962745
